run_accession,study_accession,sample_accession,experiment_accession,tax_id
ERR13576985,PRJEB79238,SAMEA115940987,ERX12946888,410658
ERR13576986,PRJEB79238,SAMEA115940988,ERX12946889,410658
ERR13576987,PRJEB79238,SAMEA115940989,ERX12946890,410658
ERR13576989,PRJEB79238,SAMEA115940991,ERX12946892,410658
ERR13576990,PRJEB79238,SAMEA115940992,ERX12946893,410658
ERR13576991,PRJEB79238,SAMEA115940993,ERX12946894,410658
ERR13576994,PRJEB79238,SAMEA115940996,ERX12946897,410658
ERR13576996,PRJEB79238,SAMEA115940998,ERX12946899,410658
ERR13577003,PRJEB79238,SAMEA115941005,ERX12946906,410658
ERR13577004,PRJEB79238,SAMEA115941006,ERX12946907,410658
ERR13577008,PRJEB79238,SAMEA115941010,ERX12946911,410658
ERR13577009,PRJEB79238,SAMEA115941011,ERX12946912,410658
ERR13577017,PRJEB79238,SAMEA115941019,ERX12946920,410658
ERR13577020,PRJEB79238,SAMEA115941022,ERX12946923,410658
ERR13577022,PRJEB79238,SAMEA115941024,ERX12946925,410658
ERR13577023,PRJEB79238,SAMEA115941025,ERX12946926,410658
ERR13577026,PRJEB79238,SAMEA115941028,ERX12946929,410658
ERR13577029,PRJEB79238,SAMEA115941031,ERX12946932,410658
ERR13577040,PRJEB79238,SAMEA115941042,ERX12946943,410658
ERR13577042,PRJEB79238,SAMEA115941044,ERX12946945,410658
ERR13577044,PRJEB79238,SAMEA115941046,ERX12946947,410658
ERR13577045,PRJEB79238,SAMEA115941047,ERX12946948,410658
ERR13577046,PRJEB79238,SAMEA115941048,ERX12946949,410658
ERR13577048,PRJEB79238,SAMEA115941050,ERX12946951,410658
ERR13577049,PRJEB79238,SAMEA115941051,ERX12946952,410658
ERR13577052,PRJEB79238,SAMEA115941054,ERX12946955,410658
ERR13577053,PRJEB79238,SAMEA115941055,ERX12946956,410658
ERR13577057,PRJEB79238,SAMEA115941059,ERX12946960,410658
ERR13577058,PRJEB79238,SAMEA115941060,ERX12946961,410658
ERR13577059,PRJEB79238,SAMEA115941061,ERX12946962,410658
ERR13577063,PRJEB79238,SAMEA115941065,ERX12946966,410658
ERR13577066,PRJEB79238,SAMEA115941068,ERX12946969,410658
ERR13577070,PRJEB79238,SAMEA115941072,ERX12946973,410658
ERR13577071,PRJEB79238,SAMEA115941073,ERX12946974,410658
ERR13577078,PRJEB79238,SAMEA115941075,ERX12946981,410658
ERR13577080,PRJEB79238,SAMEA115941077,ERX12946983,410658
ERR13577083,PRJEB79238,SAMEA115941080,ERX12946986,410658
ERR13577084,PRJEB79238,SAMEA115941081,ERX12946987,410658
ERR13577090,PRJEB79238,SAMEA115941087,ERX12946993,410658
ERR13577091,PRJEB79238,SAMEA115941088,ERX12946994,410658
ERR13577098,PRJEB79238,SAMEA115941100,ERX12947001,410658
ERR13577099,PRJEB79238,SAMEA115941101,ERX12947002,410658
ERR13577106,PRJEB79238,SAMEA115941108,ERX12947009,410658
ERR13577116,PRJEB79238,SAMEA115941133,ERX12947019,410658
ERR13577117,PRJEB79238,SAMEA115941134,ERX12947020,410658
ERR13577121,PRJEB79238,SAMEA115941118,ERX12947024,410658
