sample_accession,alias,run_accession,experiment_accession,_,code,codeID,part1,part2
SAMEA115940987,ITS_blanco_1,ERR13576985,ERX12946888,ITS,blanco,1,bl,anco
SAMEA115940988,ITS_Bm1a_2,ERR13576986,ERX12946889,ITS,Bm1a,2,Bm,1a
SAMEA115940989,ITS_Bm1b_3,ERR13576987,ERX12946890,ITS,Bm1b,3,Bm,1b
SAMEA115940991,ITS_Bm2b_5,ERR13576989,ERX12946892,ITS,Bm2b,5,Bm,2b
SAMEA115940992,ITS_Bm3b_6,ERR13576990,ERX12946893,ITS,Bm3b,6,Bm,3b
SAMEA115940993,ITS_Bm4a_7,ERR13576991,ERX12946894,ITS,Bm4a,7,Bm,4a
SAMEA115940996,ITS_Bm5b_10,ERR13576994,ERX12946897,ITS,Bm5b,10,Bm,5b
SAMEA115940998,ITS_Bm8a_12,ERR13576996,ERX12946899,ITS,Bm8a,12,Bm,8a
SAMEA115941005,ITS_Bm11b_19,ERR13577003,ERX12946906,ITS,Bm11b,19,Bm,11b
SAMEA115941006,ITS_Bm12a_20,ERR13577004,ERX12946907,ITS,Bm12a,20,Bm,12a
SAMEA115941010,ITS_cc14_24,ERR13577008,ERX12946911,ITS,cc14,24,cc,14
SAMEA115941011,ITS_cc17p_25,ERR13577009,ERX12946912,ITS,cc17p,25,cc,17p
SAMEA115941019,ITS_Mb4b_33,ERR13577017,ERX12946920,ITS,Mb4b,33,Mb,4b
SAMEA115941022,ITS_Mb6a_36,ERR13577020,ERX12946923,ITS,Mb6a,36,Mb,6a
SAMEA115941024,ITS_Mb7a_38,ERR13577022,ERX12946925,ITS,Mb7a,38,Mb,7a
SAMEA115941025,ITS_Mb7b_39,ERR13577023,ERX12946926,ITS,Mb7b,39,Mb,7b
SAMEA115941028,ITS_Mn1a_42,ERR13577026,ERX12946929,ITS,Mn1a,42,Mn,1a
SAMEA115941031,ITS_Mn2b_45,ERR13577029,ERX12946932,ITS,Mn2b,45,Mn,2b
SAMEA115941042,ITS_Mn9b_56,ERR13577040,ERX12946943,ITS,Mn9b,56,Mn,9b
SAMEA115941044,ITS_Mn11a_58,ERR13577042,ERX12946945,ITS,Mn11a,58,Mn,11a
SAMEA115941046,ITS_Mn12a_60,ERR13577044,ERX12946947,ITS,Mn12a,60,Mn,12a
SAMEA115941047,ITS_Mn12b_61,ERR13577045,ERX12946948,ITS,Mn12b,61,Mn,12b
SAMEA115941048,ITS_Mock_62,ERR13577046,ERX12946949,ITS,Mock,62,Mo,ck
SAMEA115941050,ITS_Mp1b_64,ERR13577048,ERX12946951,ITS,Mp1b,64,Mp,1b
SAMEA115941051,ITS_Mp2a_65,ERR13577049,ERX12946952,ITS,Mp2a,65,Mp,2a
SAMEA115941054,ITS_Mp4a_68,ERR13577052,ERX12946955,ITS,Mp4a,68,Mp,4a
SAMEA115941055,ITS_Mp4b_69,ERR13577053,ERX12946956,ITS,Mp4b,69,Mp,4b
SAMEA115941059,ITS_Mp7b_73,ERR13577057,ERX12946960,ITS,Mp7b,73,Mp,7b
SAMEA115941060,ITS_Mp8a_74,ERR13577058,ERX12946961,ITS,Mp8a,74,Mp,8a
SAMEA115941061,ITS_Mp8b_75,ERR13577059,ERX12946962,ITS,Mp8b,75,Mp,8b
SAMEA115941065,ITS_Mp11a_79,ERR13577063,ERX12946966,ITS,Mp11a,79,Mp,11a
SAMEA115941068,ITS_Mp12b_82,ERR13577066,ERX12946969,ITS,Mp12b,82,Mp,12b
SAMEA115941072,ITS_REFNSsoil4_86,ERR13577070,ERX12946973,ITS,REFNSsoil4,86,RE,FNSsoil4
SAMEA115941073,ITS_REstersoil_87,ERR13577071,ERX12946974,ITS,REstersoil,87,RE,stersoil
SAMEA115941075,16S_Bm1a_2,ERR13577078,ERX12946981,16S,Bm1a,2,Bm,1a
SAMEA115941077,16S_Bm2a_4,ERR13577080,ERX12946983,16S,Bm2a,4,Bm,2a
SAMEA115941080,16S_Bm4a_7,ERR13577083,ERX12946986,16S,Bm4a,7,Bm,4a
SAMEA115941081,16S_Bm4b_8,ERR13577084,ERX12946987,16S,Bm4b,8,Bm,4b
SAMEA115941087,16S_Bm9a_14,ERR13577090,ERX12946993,16S,Bm9a,14,Bm,9a
SAMEA115941088,16S_Bm9b_15,ERR13577091,ERX12946994,16S,Bm9b,15,Bm,9b
SAMEA115941100,16S_Mb1b_27,ERR13577098,ERX12947001,16S,Mb1b,27,Mb,1b
SAMEA115941101,16S_Mb2a_28,ERR13577099,ERX12947002,16S,Mb2a,28,Mb,2a
SAMEA115941108,16S_Mb5b_35,ERR13577106,ERX12947009,16S,Mb5b,35,Mb,5b
SAMEA115941133,16S_Mn12a_60,ERR13577116,ERX12947019,16S,Mn12a,60,Mn,12a
SAMEA115941134,16S_Mn12b_61,ERR13577117,ERX12947020,16S,Mn12b,61,Mn,12b
SAMEA115941118,16S_Mn2b_45,ERR13577121,ERX12947024,16S,Mn2b,45,Mn,2b
SAMEA115941120,16S_Mn4a_47,ERR13577123,ERX12947026,16S,Mn4a,47,Mn,4a
SAMEA115941122,16S_Mn5a_49,ERR13577125,ERX12947028,16S,Mn5a,49,Mn,5a
SAMEA115941126,16S_Mn8a_53,ERR13577129,ERX12947032,16S,Mn8a,53,Mn,8a
SAMEA115941127,16S_Mn8b_54,ERR13577130,ERX12947033,16S,Mn8b,54,Mn,8b
SAMEA115941154,16S_Mp12a_81,ERR13577137,ERX12947040,16S,Mp12a,81,Mp,12a
SAMEA115941139,16S_Mp2b_66,ERR13577142,ERX12947045,16S,Mp2b,66,Mp,2b
SAMEA115941142,16S_Mp4b_69,ERR13577145,ERX12947048,16S,Mp4b,69,Mp,4b
SAMEA115941150,16S_Mp9b_77,ERR13577153,ERX12947056,16S,Mp9b,77,Mp,9b
SAMEA115941160,16S_REstersoil_87,ERR13577158,ERX12947061,16S,REstersoil,87,RE,stersoil
